Arrondissements,Hopitaux,metro,bus,rer,stationautolib,stattionvelib,etablissement,Prixmetrecarree
10,11,9,29,3,0,52,62,5440
10,11,9,29,3,0,52,62,5400
10,11,9,29,3,0,52,62,5210
10,11,9,29,3,0,52,62,5090
10,11,9,29,3,0,0,62,5000
10,11,9,29,3,0,0,62,4940
10,11,9,29,3,0,0,62,4740
10,11,9,29,3,0,0,62,4650
10,11,9,29,3,0,0,62,4580
10,11,9,29,3,0,0,62,4440
10,11,9,29,3,0,0,62,4160
10,11,9,29,3,0,0,62,4110
10,11,9,29,3,0,0,62,3860
10,11,9,29,3,0,0,62,3680
10,11,9,29,3,0,0,62,3560
10,11,9,29,3,0,0,62,3290
10,11,9,29,3,0,0,62,3260
10,11,9,29,3,0,0,62,3320
10,11,9,29,3,0,0,62,3070
10,11,9,29,3,0,0,62,3080
10,11,9,29,3,0,0,62,2960
10,11,9,29,3,0,0,62,2760
10,11,9,29,3,0,0,62,2680
10,11,9,29,3,0,0,62,2550
10,11,9,29,3,0,0,62,2540
10,11,9,29,3,0,0,62,2550
10,11,9,29,3,0,0,62,2390
10,11,9,29,3,0,0,62,2300
11,5,8,20,1,30,55,92,8920
11,5,8,20,1,30,55,92,8680
11,5,8,20,1,30,55,92,8320
11,5,8,20,1,30,55,92,8270
11,5,8,20,1,30,55,92,8110
11,5,8,20,1,30,55,92,8010
11,5,8,20,1,30,55,92,7870
11,5,8,20,1,30,55,92,7840
11,5,8,20,1,30,55,92,7940
11,5,8,20,1,30,55,92,7770
11,5,8,20,1,30,55,92,7810
11,5,8,20,1,30,55,92,7800
11,5,8,20,1,30,55,92,7910
11,5,8,20,1,30,55,92,8000
11,5,8,20,1,30,55,92,7970
11,5,8,20,1,30,55,92,7960
11,5,8,20,1,30,55,92,7940
11,5,8,20,1,30,55,92,7990
11,5,8,20,1,30,55,92,7940
11,5,8,20,1,30,55,92,8120
11,5,8,20,1,30,55,92,8090
11,5,8,20,1,30,55,92,8090
11,5,8,20,1,30,55,92,8010
11,5,8,20,1,30,55,92,7950
11,5,8,20,1,30,55,92,7930
11,5,8,20,1,30,55,92,7730
11,5,8,20,1,30,55,92,7460
11,5,8,20,1,0,55,92,7050
11,5,8,20,1,0,55,92,6690
11,5,8,20,1,0,55,92,6410
11,5,8,20,1,0,55,92,6060
11,5,8,20,1,0,55,92,5910
11,5,8,20,1,0,55,92,5950
11,5,8,20,1,0,55,92,5700
11,5,8,20,1,0,55,92,5930
11,5,8,20,1,0,55,92,6090
11,5,8,20,1,0,55,92,6230
11,5,8,20,1,0,55,92,6200
11,5,8,20,1,0,55,92,6020
11,5,8,20,1,0,55,92,5960
11,5,8,20,1,0,55,92,5860
11,5,8,20,1,0,55,92,5600
11,5,8,20,1,0,55,92,5530
11,5,8,20,1,0,0,92,5400
11,5,8,20,1,0,0,92,5390
11,5,8,20,1,0,0,92,5240
11,5,8,20,1,0,0,92,5120
11,5,8,20,1,0,0,92,5010
11,5,8,20,1,0,0,92,4960
11,5,8,20,1,0,0,92,4690
